family,method,regime,n_assets,budget,noise_level,depth,shot_budget,mitigation_label,mean_best_energy,std_best_energy,mean_gap,mean_ratio,median_best_energy,success_probability,p_succ,mean_valid_ratio,mean_runtime_seconds,mean_runtime_per_call,mean_total_shots,mean_shots_per_call,mean_objective_calls
qaoa,bo_direct,high_corr,4,2,0.04,1,32,readout,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.3860395550727845,0.3860395550727845,0.04906296730041504,0.009812593460083008,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.04,1,32,readout+zne,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.5015664579659185,0.5015664579659185,0.002621889114379883,0.0008739630381266276,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,4,2,0.04,2,32,none,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.453125,0.453125,0.04226398468017578,0.008452796936035156,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.04,2,32,readout,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.45861317714055383,0.45861317714055383,0.0358731746673584,0.007174634933471679,640.0,128.0,4.0
qaoa,bo_direct,high_corr,4,2,0.04,2,32,readout+zne,-0.16299168752165838,,0.0,1.0,-0.16299168752165838,1.0,0.576997093890699,0.576997093890699,0.010238170623779297,0.0034127235412597656,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,6,3,0.0,1,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,0.125,0.3046875,0.05796217918395996,0.011592435836791991,640.0,128.0,4.0
qaoa,bo_direct,high_corr,6,3,0.0,1,32,readout,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,0.12289926225695291,0.30277629797817407,0.04028606414794922,0.008057212829589844,640.0,128.0,4.0
qaoa,bo_direct,high_corr,6,3,0.0,1,32,readout+zne,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,0.06464074963634876,0.31786005932037953,0.0032591819763183594,0.0010863939921061199,800.0,266.6666666666667,2.0
qaoa,bo_direct,high_corr,6,3,0.0,2,32,none,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,0.140625,0.359375,0.03559684753417969,0.007119369506835937,640.0,128.0,4.0
qaoa,bo_direct,high_corr,6,3,0.0,2,32,readout,-0.25255950022508855,,0.0,1.0,-0.25255950022508855,1.0,0.13593101672496766,0.3570792590221303,0.031987905502319336,0.0063975811004638675,640.0,128.0,4.0
